Paises;GDP Pais;Demanda per capita;Población;Consumo
China;24569,28651;87,70357216;1410710000;123724306,3
United States;82769,41221;178,3495661;336806231;60069245,15
India;10166,24341;15,12671672;1438069596;21753271,4
Japan;49793,93582;173,3208921;124516650;21581336,86
Germany;69205,88307;178,5651849;83901923;14981962,39
Mexico;24789,6756;73,32257226;129739759;9512852,854
South Korea;52203,96857;183,7460018;51712619;9501986,986
Brazil;21107,2821;43,91463108;211140729;9272167,22
Italy;57801,36626;151,3791408;58993475;8930381,558
Indonesia;15415,60579;28,96437397;281190067;8144494,258
France;58317,82803;108,9091295;68287487;7437130,768
Russia;44120,14453;48,38199754;143826130;6958595,468
Turkiye;42326,16444;81,38549317;85325965;6944295,742
United Kingdom;58225,13116;94,86492231;68492000;6497488,259
Viet Nam;14973,88396;60,23273164;100352192;6044486,651
Spain;53229,92202;124,309203;48347910;6010090,156
Poland;46570,47027;155,9104541;36687353;5719941,865
Canada;63524,70387;136,9462656;40083484;5489283,445
Thailand;23465,06314;75,04309998;71702435;5380772,999
Malaysia;36416,54019;84,22525406;35126298;2958521,373
Australia;70497,15245;108,8011367;26652777;2899852,435
Egypt;18524,55722;23,16235427;114535772;2652918,128
Netherlands;78305,28884;142,0290378;17877117;2539069,725
South Africa;15194,19918;39,21095753;63212384;2478618,105
Argentina;30082,30452;48,90516242;45538401;2227062,897
Philippines;10988,63004;19,2842485;114891199;2215590,432
Belgium;69072,83339;187,7237921;11787423;2212779,745
Saudi Arabia;61102,91537;65,36697624;33702731;2203045,617
United Arab Emirates;76110,38485;191,2906291;10483751;2005443,325
Bangladesh;9147,777507;11,23486238;171466990;1926408,036
Colombia;20784,49964;33,96080872;52321152;1776868,635
Austria;70478,78736;181,9266117;9131761;1661310,337
Czechia;53217,42174;144,1724468;10864042;1566295,517
Chile;32802,87222;70,65274202;19658835;1388950,598
Iran;17659,87393;14,24616138;90608707;1290826,262
Pakistan;6036,650769;5,032165937;247504495;1245483,689
Romania;45777,03873;59,32738714;19059479;1130749,089
Portugal;47331,0983;105,136054;10578174;1112147,473
Ecuador;16062,01636;58,37922207;17980083;1049663,258
Peru;16974,242;30,19573925;33845617;1021993,426
Israel;54057,04841;102,1911566;9849000;1006480,701
Sweden;67198,02004;94,72594982;10536632;998092,4741
Algeria;16824,4879;21,0794787;46164219;973117,6713
Hungary;45021,301;95,69513557;9592186;917925,5397
Morocco;9842,888672;21,95922978;37712505;828137,5629
Greece;41181,99122;79,2138839;10405588;824267,0397
Finland;61734,45981;132,5514589;5583911;740155,5494
Denmark;73737,44754;119,7976725;5946952;712431,0079
Guatemala;13750,28791;38,18044166;18124838;692014,3199
New Zealand;53440,13101;131,4537842;5245000;689475,0981
Ukraine;17630,125;18,26525331;37732836;689199,8078
Nigeria;6207,421378;2,438589087;227882945;555712,8629
Sri Lanka;14460,74142;22,43603444;22037000;494422,891
Hong Kong SAR;71548,9642;64,82996918;7536100;488565,1307
Iraq;14107,29793;10,21862522;45074049;460594,8137
Croatia;45602,96011;114,7136086;3859686;442758,5093
Slovak Republic;43625,36419;81,30486459;5426740;441220,3609
Costa Rica;28075,14217;84,83739051;5105525;433139,4182
Kenya;6307,232494;7,794162452;55339003;431321,1793
Kuwait;51561,36381;87,85875666;4853420;426415,4468
Tunisia;13931,85932;34,60838554;12200431;422237,2198
Cambodia;7425,511791;23,74015043;17423880;413645,5322
Jordan;10391,01361;33,64228082;11439213;384841,2161
Lithuania;50914,86381;130,5164804;2871585;374789,1674
Bulgaria;37507,7734;57,99419699;6446596;373865,1583
Belarus;30763,01982;38,91423259;9178298;357166,4232
Dominican Rep.;25624,00977;30,81586617;11331265;349182,7458
Serbia;28748,47596;49,99660712;6623183;331136,6783
Myanmar;5953,357352;5,938888915;54133798;321494,6129
Kazakhstan;38515,1836;15,70784573;20330104;319342,1373
Honduras;7178,807295;29,09798584;10644851;309743,7237
Uzbekistan;11106,97159;7,42547422;35652307;264735,2865
Lebanon;#N/D;44,64959185;5773493;257784,106
Oman;42519,70499;48,26893763;5049269;243722,8504
El Salvador;12657,03406;37,80915035;6309624;238561,5225
Tanzania;4018,516602;3,156525628;66617606;210280,1806
Cote d'Ivoire;7197,690104;5,883228595;31165654;183354,6668
Bolivia;10925,27305;14,66341405;12244159;179541,1731
Latvia;41491,51067;85,1055304;1877445;159780,9525
Uruguay;34426,60247;45,6873371;3388081;154792,3988
Paraguay;17516,79847;21,82475242;6844146;149371,792
Estonia;46790,27002;108,1244669;1370286;148161,4432
Ghana;7543,026747;4,308397095;33787914;145571,7505
Azerbaijan;23597,83786;13,14714292;10153958;133495,537
Panama;39803,31895;29,63697734;4458759;132144,1394
Bosnia & Herzegovina;22449,1503;41,1504969;3185073;131067,3366
Zimbabwe;3820,362629;7,122612943;16340822;116389,3503
Libya;13848,795;13,972395;7305659;102077,5533
Uganda;3097,637024;2,009024061;48656601;97752,28214
Senegal;4791,44862;5,212355681;18077573;94226,74033
Zambia;4076,995087;4,468083173;20723965;92596,39929
Bahrain;63497,61694;55,62638894;1577059;87726,09731
Ethiopia;3058,128044;0,659226961;128691692;84837,03299
Nepal;5393,620902;2,69076214;29694614;79901,14311
Albania;21263,19566;28,62850406;2745972;78613,07055
Djibouti;7103,69109;59,19987653;1152944;68254,14245
Laos;9291,78859;8,423888307;7664993;64569,04491
Cyprus;57213,82031;47,81212733;1344976;64306,16376
Cameroon;5405,574657;2,260904563;28372687;64147,93751
Georgia;25071,96771;17,02068384;3715483;63240,06146
Jamaica;11421,75356;22,16044307;2839786;62930,91597
Cuba;#N/D;5,62752142;11019931;62014,89774
North Macedonia;24390,48735;33,76317257;1827816;61712,86704
Angola;8040,70245;1,673027323;36749906;61483,59686
Armenia;21342,51453;20,6045027;2964300;61077,92735
Nicaragua;8309,339913;8,875733861;6823613;60564,57296
Kyrgyzstan;7106,491143;7,852856098;7099750;55753,31508
Madagascar;1823,817329;1,553608698;31195932;48466,27131
Mozambique;1677,681023;1,361884836;33635160;45807,21437
Mauritius;29511,22741;34,33637596;1261041;43299,57788
Fiji;15152,13764;46,4129843;924145;42892,32738
Botswana;20916,40155;16,40842142;2480244;40696,88879
Namibia;11215,54684;13,10838886;2963095;38841,40148
Papua New Guinea;4632,979794;3,655223716;10389635;37976,44026
Mongolia;18004,85121;9,734660008;3481145;33887,76302
Turkmenistan;19828,92485;4,258421197;7364438;31360,87888
Macao SAR;116491,07;45,34979341;678800;30783,43976
Malta;63419,8237;55,58528743;552747;30724,60087
Togo;3071,512168;3,113173876;9304337;28966,01888
Sudan;2740,421143;0,554789396;50042791;27763,2098
Moldova;17596,88342;10,80244711;2457783;26550,07086
Tajikistan;4963,582953;2,37329195;10389799;24658,02633
Congo, Rep.;6850,277706;3,586631283;6182885;22175,72876
Gabon;20757,07238;7,955576282;2484789;19767,92843
Benin;4129,979415;1,385378443;14111034;19549,12231
Guyana;54732,14407;21,6110448;826353;17858,3517
Guinea;4383,152197;1,160631366;14405468;16719,43801
Rwanda;3396,155325;1,134819706;13954471;15835,80868
Malawi;1829,507689;0,708946838;21104482;14961,95577
Afghanistan;2211,280635;0,344338014;41454761;14274,45008
Burkina Faso;2754,713465;0,580424024;23025776;13364,71355
Mauritania;6946,193933;2,418255366;5022441;12145,5449
Haiti;3281,212321;1,020633271;11637398;11877,51558
Barbados;21336,15756;39,34980935;282336;11109,86777
Brunei Darussalam;#N/D;23,80836687;458949;10926,82617
Somalia;1556,523091;0,574902023;18358615;10554,4049
New Caledonia;#N/D;30,44424342;289870;8824,87284
Bahamas;36742,06204;21,63594397;399440;8642,261458
Gambia;3254,374577;3,198451411;2697845;8628,926146
Mali;2657,712984;0,324869303;23769127;7721,859723
Belize;13823,43795;14,11471667;411106;5802,64471
French Polynesia;#N/D;20,25688916;281118;5694,576168
Liberia;1794,533409;1,024227246;5493031;5626,112013
Lesotho;2880,96631;2,392393898;2311472;5529,951507
Sierra Leone;3367,51026;0,553472257;8460512;4682,658668
Bhutan;#N/D;5,324356497;786385;4186,994084
Niger;1890,505186;0,151183651;26159867;3954,944208
Burundi;919,9066462;0,252716868;13689450;3459,554925
Samoa;6996,841921;14,86571924;216663;3220,851327
Chad;1863,940621;0,149927402;19319064;2896,457069
Central African Rep.;1259,8244;0,450304274;5152421;2320,157199
Guinea-Bissau;2862,071225;0,785060756;2153339;1690,501942
